,Comments,Quality,Difficulty,Dates,TeacherID
0,"lectures are not long... BUT THEY ARE BORING. they feel like they are 5 hours long instead of an hour and 15 minutes. gets off topic a lot too so its hard to write notes. just go to class and pay attention and youll pass. also, if you ask a question and she thinks its dumb she will freak out. ",2.0,3.0,"Oct 27th, 2015",148559
1,"Lectures are long but the tests are based entirely off of the lecture if you go to class and take good notes you will be fine. She is extremely knowledgeabl, some people think she comes across rude, i have had 6 classes from her and after teaching for 40 years she knows he wants to be there to learn and who doesn't care and that' how she treats you",4.0,4.0,"Oct 16th, 2015",148559
2,Dr Adams is one of the nicest and best professors I had at Uc.  I took both her world cultures 1 & 2.  Her class is all lecture.  Listen to her take good notes and you are honing to pass.  Her tests are based directly on her lecture.   Nothing is hidden or not covered.   SHE will NOT tolerate disrespect.  Go to class pay attention.,1.0,3.0,"Aug 5th, 2013",148559
3,"Very knowledgeable, mostly straightforward class. The entire course is lectures and tests taken from the notes from the lectures. Book is unnecessary because all tests are taken from notes. Not a ""fun"" class, but attendance is necessary to understand tests. Overall good teacher.",2.0,4.0,"Jan 6th, 2013",148559
4,"I really enjoyed having her as a professor, she gives fair tests of which if you payed attention the entire time in class you will do fine. she does go off topic a lot but be thankful of that for it is unnecessary and shortens what you actually have to learn.",3.0,4.0,"Jan 10th, 2011",148559
5,"As long as you come to class and pay attention to the lectures, you will do fine in her class.",4.0,3.0,"Oct 30th, 2009",148559
6,"Straight lecture.  Boring.  If you miss a class, definitely get notes from someone else or you'll be extremely behind.",2.0,4.0,"Jul 31st, 2009",148559
7,This professor is not very nice or helpful.  She does not care about her students and she is very rude.,1.0,5.0,"Jan 12th, 2009",148559
8,Outright nasty at times. I thought professors weren't supposed to lecture at UC. She talks for three hours!,1.0,5.0,"Sep 22nd, 2008",148559
9,"As long as you take notes and listen to what she says, you will do fine on the exams. Plus you get extra points just for showing up for the exams.",3.5,2.0,"Apr 20th, 2007",148559
10,Good Class,3.5,2.0,"Apr 5th, 2007",148559
11,"Dr. Adams expects a lot, but she is also very fair. She finds various ways of giving extra points, like if you attend an event on campus. She does expect you to do your work, but I don't mind that - it is what I am paying for. Some professors here are all wind and you can tell that their degree was from some Mickey Mouse school.",5.0,3.0,"Nov 30th, 2005",148559
12,No Comments,1.5,5.0,"Sep 7th, 2005",148559
13,No Comments,4.0,3.0,"Sep 3rd, 2005",148559
14,No Comments,2.5,5.0,"Aug 30th, 2005",148559
15,No Comments,2.0,3.0,"Aug 30th, 2005",148559
16,terrible,1.5,5.0,"Aug 27th, 2005",148559
17,"Everyone at UC basically has to take this woman because she is the only one that teaches World Cultures and its a basic requirement for all majors.  She knows a lot, she really does.  I'm not so sure she still has the passion for teaching, but she's really old school in her methods.  She's tough!",4.0,4.0,"Feb 13th, 2005",148559
18,"She knows alot about what she teaches, but all you get to do in that class is take notes. If you don't want to take notes constantly, then don't take one of her classes.",2.5,4.0,"Nov 23rd, 2004",148559
19,Lots of Lecture....Only 4 grades during the whole semester...,2.5,3.0,"Jul 26th, 2004",148559
20,This guy is a hottie!,5.0,3.0,"Nov 8th, 2009",989206
21,"Prof. Alcazar's teaching style is unique, but he brings a lot of real world experience to the table.  If you don't participate you won't pass, and he'll let everyone know.  He pushes you to think and learn.",4.0,4.0,"Aug 20th, 2016",689127
22,"Hard class and the exact material is not what to focus on, it is the conceptual material he is teaching that is what is important and will be used in everyday business life",3.5,4.0,"Mar 30th, 2012",689127
23,"Definitely Take Armando. Business Policy with him is challenging however it is on everyone. He'll only single you out if you don't give an interest in the class. If you don't pay attention he'll stay on your ass, and then he's HILARIOUS to listen to.",4.5,4.0,"Jun 13th, 2011",689127
24,"I love that guy, I don't care what anyone says. He's a genius.",4.0,5.0,"Oct 12th, 2009",689127
25,"Good Grief, get some better teachers here at this over priced institution!  Yesteryear has come and gone.  Get someone to relate to student needs and that can actually teach!!!  POOR!!!",1.0,3.0,"Sep 5th, 2008",689127
26,"I will not say that this prof is the worst that I have ever had but I will say that the grading is not fair!  I was given a B while another student rec. an A.  The funny thing about that is, we had the same test because his/hers was copied from mine.  When I emailed him about my grade he never gave me a response.",1.5,3.0,"Jul 16th, 2008",689127
27,"Worst proff ever had.  Bring in new, qualified blood that students can relate eto and wnat to have and learn from. I had a proff at a Coom college in Boone that blew these business wannabes out the water.  Terrible style abd test are just made up too hard for no reason other than to appear smart.",1.0,5.0,"May 26th, 2008",689127
28,This guy is a piece of work.  Worst teacher I have had.  He is extremely disrespectful to students and does not keep good attendance records yet grades on attendance.  He gave me a low grade because he said I missed 4 classes which was simply not true.  When I asked him about it he was too rude and thick headed to listen or care.  Steer clear!!!!!!,2.0,4.0,"Mar 14th, 2008",689127
29,"He is underqualified...tells ancient stories of how he was a powerful business type...3 decades ago.  He doesn't know basic finance and does a great job acting..when in doubt or he is caught not knowing something, he'll say ""spit on the book""...yeah, that makes sense since he doesn't have a Ph.D.",1.0,5.0,"Jun 13th, 2007",689127
30,"This guy sucks, what an attitude!  Disrespectful to students!",1.5,4.0,"Jan 3rd, 2007",689127
31,"He thinks he is all that..he is a has been.  Lacks undertsnading so he covers up by disregaridng the book and author...I ""spit on that.""  Doesn't know theory or finance...he tells a lot of war stories...if he did so well, why does he live in a $70,000 house and why can't he afford to pay his OWN way on the MBA trips...he skims off the group!",1.0,1.0,"Dec 16th, 2006",689127
32,"Anecdotal teaching, largely disregards info in textbook",2.5,5.0,"Jul 29th, 2006",689127
