,Comments,Quality,Difficulty,Dates,TeacherID
0,"Easy class. Some of the assignments were pretty easy because I do them already (such as creating a newsletter), and some of the assignments were new and I learned a lot.  Whenever I had a question about an assignment or asked him to look it over before I turned it in, he did it no problem and pretty quickly.",5.0,1.0,"Apr 27th, 2016",641213
1,"This professer makes too many excuses for curriculm accountability. He is old school and teaches 2003-2004 activities. Dr. Abate doesn't even present to his own student teachers the current APA standards. You will get nothing but excuses from this professor. The curriculum is not worth paying for, because it is extremely out of date. ",1.0,5.0,"Jun 8th, 2015",641213
2,He is a real person.  Ask him about surfing and you will learn some good stuff.  Very good knowledge about teaching with technology.,5.0,2.0,"Feb 9th, 2008",641213
3,No Comments,5.0,4.0,"Mar 13th, 2007",641213
4,Dr. Abate is one of the few profs who knew my name when I was at CSU.  He was always very knowledgeable and helpful.,5.0,3.0,"Nov 2nd, 2005",641213
5,one of the best professors i've ever had. knows technology AND education - a rare combination,5.0,3.0,"Jul 12th, 2005",641213
6,This class was not bad at all! I dont know what all these negative reviews are about. He is a theater critic after all so any feedback he gives is to make you a better writer on the material. His class is not bad at all! Do not let the reviews scare you.,1.0,5.0,"Jun 29th, 2021",460572
7,"I agree with the other raters. The quizzes are easy but his grading of papers made no sense. When I fixed one thing he complained about, he would then complain about something else. I have no problem being intellectually challenged but I felt that there was no consistency in his grading. It feels like he wants to find something wrong in your essay.",4.0,4.0,"Apr 30th, 2021",460572
8,This class was not bad at all! I dont know what all these negative reviews are about. He is a theater critic after all so any feedback he gives is to make you a better writer on the material. His class is not bad at all! Do not let the reviews scare you.,1.0,5.0,"Dec 31st, 2020",460572
9,Not the best,2.0,4.0,"Dec 11th, 2020",460572
10,"Robert wants 750 word papers, but what he's expecting of you goes far beyond 750 words. Contacting him for feedback is an overwhelmingly negative experience with little actual feedback. Skip his classes if you can, not worth the hassle.",1.0,4.0,"May 1st, 2020",460572
11,"It is clear this guy does not want his students to succeed. No matter what, he will never feel satisfied with your work. Good luck, because I know this class is required for many communications students.",1.0,4.0,"Mar 27th, 2020",460572
12,"The most defeating and least caring professor I have ever experienced. Coming from a straight A student, who is a communication major I can say I hated this class. I reached out to him so many times for feedback and it's terrible and all he does is puts you down while grading. Honestly, worst professor I had in college.",1.0,5.0,"Oct 21st, 2019",460572
13,Horrible professor. The only reason I took his class because he was the only one teaching it and I needed it. He is never satisfied with the work you give in. He wants you to write like him. I rewrote my papers before submitting and attempted to write what I thought would be acceptable. He kept giving me a low score and harsh feedback.,4.0,3.0,"May 7th, 2019",460572
14,"Almost dropped Abelmans class at the beginning of the semester bc of all the negative ratings, but I'm so glad I didn't. He gives you a writing assignment and quiz, due at the end of two, sometimes three weeks. Writing is a 750 word minimum based off your critique of a movie, play, etc. Quizzes based off of his online lectures. Try, you'll pass.",1.0,4.0,"May 3rd, 2019",460572
15,"Felt like he graded very harshly and expected A LOT from his students. I managed to get decent grades on papers. However, I believe I got less than what I deserved. With that being said, he has no office hours and will only help you through email. For a class of this difficulty, it would make sense to get in person guidance.",3.0,4.0,"Nov 11th, 2017",460572
16,"Dr. Abelman is a very tough grader. Sometimes can get a little too critical in his responses (I've been called lazy and careless plenty of time). He knows his stuff though. One of few CSU profs to actually work as a journalist, so take advantage of that.",1.0,5.0,"Aug 15th, 2017",460572
17,"He was one of the worst professors I ever had, he was rude and argumentative. He does not care for others opinions or suggestions. His tests were almost impossible and they were very specific. He made attendance mandatory and if you missed a day it felt like you missed two weeks. And tons of READING, it was miserable.",1.0,4.0,"Jan 7th, 2017",460572
18,"Abelman test seem like they are set up for you to fail. The study guide is very unclear and he does not go into detail about specific material you need to know. Also he includes many things that were not discussed in lecture so make sure you READ,READ,READ. Can be quite rude at times, unavailable and opinionated.",1.0,4.0,"Jul 27th, 2016",460572
19,Didn't answer questions whenever I asked or made me too confused. Expected too much from students with such little time. He was funny here and there but I didnt enjoy his teaching style. Kinda a hypocrite,2.5,4.0,"Feb 8th, 2016",460572
20,He's extremely picky on papers and is a tough grader. Don't take this if you're looking for an easy WAC class. It's not easy. You have to read the book thoroughly in order to have a chance on the tests.,2.5,3.0,"Jan 12th, 2016",460572
21,"His classes were very fun because he kept them upbeat and somewhat humorous, but he was really unclear with his tests. Usually the quizzes and tests had nothing to do with the material covered in class/reading. The papers were short and graded easily.",1.0,5.0,"Aug 27th, 2015",460572
22,This was one of the more frustrating classes I've been in. The tests were not over the covered material in the class and were usually random footnotes in the book. The papers were unclear in direction and didn't help make up for the faulty test set up. Most of the lectures are full of tangents and remain unclear. Difficult course and professor.,5.0,5.0,"Feb 10th, 2014",460572
23,"Abelman is a great professor. If you expect a high school level class, or fail to keep an open mind, you may do poorly. He is a tough grader because unlike some other professors, he pushes his students to be their best. I learned more struggling through his classes than i have in any other course. He is very helpful & wants his students to succeed.",1.0,5.0,"Mar 29th, 2013",460572
24,Get as far as you can!!! There is no study guide. He does not give clear answers. Hard grader and you have to attend plays outside of class. If your not one of his favorites drop this class ASAP! This class was a waste of time and money!,5.0,1.0,"Dec 12th, 2012",460572
25,Great professor...stop whining about him being a tough grader. Do the necessary work and you'll succeed in his class. Great guy.,3.0,4.0,"Nov 27th, 2012",460572
26,He was challenging yet very interesting. He was a tough grader but that's life. The one BIG issue I had was he cannot keep his political beliefs out of a nonpolitical class.,,,,460572
