,Comments,Quality,Difficulty,Dates,TeacherID
0,"Nothing wrong with Dr. Abrams.  He didn't blow me away, but he is certainly good at what he does.  I took Business Law from him.  This was a challenging class, but it was not overly difficult.  If you work fairly hard, you should be able to get an A or B.",3.0,4.0,"May 8th, 2015",1585949
1,Prof Abrams took an interest in the students and took the time to get to know us as much as he could. He taught business law and he is a lawyer so he definitely knew the material and how to apply it to real life. I liked this class.,5.0,3.0,"Dec 27th, 2013",1585949
2,"I took this as an 8 week  online course, the professor never communicated with students or reminded us of deadlines. Took a very long time to grade assignments and didn't offer feedback on what to improve, didn't return emails or phone calls. He was useless. Avoid him if you can!",1.5,4.0,"Dec 9th, 2012",1585949
3,"Very, very, poor communication skills. Very slow about posting grades. Does not appear to be a concerned professor at all.",1.0,3.0,"May 15th, 2012",1585949
4,"He does not communicate well, it takes him weeks to post grades, and is not approachable.  Overall you have been warned!",1.0,4.0,"May 27th, 2011",1585949
5,"Had him for business law. Not much feedback and falls 2 or 3 weeks behind on grading, but is an easy grader. As long as your formatting is on point and you sound like you know what you're taking about, you'll do fine. Make sure you read the textbook so you know the terminology.",5.0,2.0,"Oct 14th, 2017",2286648
6,Informative lectures and awesome professor. Would definitely recommend!,5.0,3.0,"Apr 7th, 2017",2244740
7,"Professor Ackerman is a genuine and helpful professor. I don't recommend taking him in the morning for a Bible class because he was often very monotone during lectures and would be difficult to focus. However, Ackerman is very helpful if you have questions afterward or need help with your assignments. He's very easy to talk to.",4.0,2.0,"Jan 12th, 2021",2158472
8,"Professor Ackerman is a genuine and helpful professor. I don't recommend taking him in the morning for a Bible class because he was often very monotone during lectures and would be difficult to focus. However, Ackerman is very helpful if you have questions afterward or need help with your assignments. He's very easy to talk to.",3.0,4.0,"Dec 20th, 2018",2158472
9,"Decent prof. Not great, not bad.",5.0,2.0,"Aug 12th, 2018",2158472
10,"Professor Ackerman is great! He is hilarious, knowledgable, and passionate about the subject. He responds to emails the same day (with the exception of Sunday), clear grading criteria, and always willing to help as long as you're willing to put in the work. In a hybrid class, group assignments were a part of class each week. Highly recommend!",5.0,2.0,"Dec 9th, 2016",2158472
11,"Ackerman is a funny professor, and his lectures are pretty interesting. He does tend to go through the slides quite fast, but his quizzes are easy and he always sends the powerpoints over email. He is always open to questions and student comments.   He is definitely a professor I would recommend!",5.0,1.0,"Dec 6th, 2016",2158472
12,He is a great teacher he cares about all of his students and allows us to have a good discussion.  He is an easy grader and gives very good feedback on the papers.,4.0,2.0,"Oct 17th, 2016",2158472
13,He was a fair grader and was very helpful during the class. He was flexible when personal stuff came up in my life.,5.0,3.0,"Aug 30th, 2016",2158472
14,"Great teacher, focuses on discussing and developing your opinion.  Easy to talk to and always helpful.  Good combination of lecture and dialogue.",,,,2158472
15,Dr. Agyapong is an amazing professor whose concern for his students reaches beyond the course content. He is genuinely concerned with your overall success as an individual which is evident in his approach to teaching. He explains difficult concepts with visual representation and engages students with questions and answers. Challenging but possible.,5.0,5.0,"Dec 22nd, 2020",2189129
16,Dr. Agyapong is an amazing professor whose concern for his students reaches beyond the course content. He is genuinely concerned with your overall success as an individual which is evident in his approach to teaching. He explains difficult concepts with visual representation and engages students with questions and answers. Challenging but possible.,5.0,4.0,"Dec 3rd, 2020",2189129
17,"I would recommend doing the practice problems in the textbooks. He allows you to make a cheat sheet - 8x11, as much information as you can cram onto it - for each exam. If you get work done on your project early, it's worth it to send it to him for his feedback before the deadline. He cares deeply about his students' success.",5.0,4.0,"Dec 19th, 2019",2189129
18,"Dr. Agyapong leads a very difficult class, but he wants you to succeed. He is more than willing to spend extra time one on one to make sure you understand. He provides great examples to follow. He has a heavy accent, but don't be worried. Make sure you attend all of his lectures so you get used to it. You can get an A in this class.",5.0,5.0,"Dec 6th, 2018",2189129
19,He is an asset to any serious institution of higher learning. An outstanding professor that commands his discipline well with scholarly fortitude. He has depth and breadth with the subjects he teaches. He was successful in leading me to achieve a level of understanding of research methods as a graduate student. Take his classes and grow!,2.0,5.0,"Oct 17th, 2017",2189129
20,"Choose another prof for GOV 603 course. I, along with other students, dropped the course. The concepts were difficult for me to grasp. Instructions and expectations were not clear. I was not following the course although I made efforts to stay on track. He expects too much and his lessons and grading styles are complex.",3.0,3.0,"Mar 16th, 2017",2189129
21,"Ok professor.  Not sure he ""gets it"" from a practical perspective.",,,,2189129
22,You won't get an A in her class without working pretty hard for it:),3.0,4.0,"Dec 4th, 2017",2177261
23,"Very poor professor, in all key areas,  When you need help you have to wait 3-4 days  if at all,  When he does answer you its with total disdain like why are you bothering me?  This Guy needs to be reprimanded and fired.  I will be taking this matter up with the school",1.0,3.0,"Dec 22nd, 2016",1787964
24,"Maybe he is a different person in class, than online, but I received absolutely no help throughout the course, (after emailing him directly), 6-8 assignments were never graded, and received a very poor grade at the end of the course. I will be going to the school about this. Would not take any of his classes again.",1.0,5.0,"Dec 30th, 2013",1787964
25,"Excellent professor, and he is very helpful if you need any assistance.  He has literally spent hours with students helping them with their programs.",5.0,3.0,"Dec 14th, 2013",1787964
26,"Great professor, fun to have in class and interact with. Will accept late assignments with penalties, if you are having trouble with one he will accept it late and help you! Would take him again if I get the chance.",5.0,2.0,"Dec 29th, 2012",1787964
27,"A theology professor that is not very well versed in theology. This professor is very dense and has difficulty understanding concepts, he has a very mechanical knowledge which leads to frustration and communication difficulties. In my 70+ hours of graduate level study in theology, this professor is the least talented I have ever had.",2.0,4.0,"Jun 26th, 2019",2502997
28,CMHC 595 - Dr. Arveson is very available and responsive to students.  Her constructive feedback is very helpful.  She helped us move from students to professional counselors.,5.0,2.0,"Aug 25th, 2012",488205
29,No Comments,5.0,3.0,"Sep 17th, 2005",488205
30,Great Class. Dr. Arveson provided great feedback for the case studies to use when submitting future case studies. Only con - during class she allowed the questions to get out of hand. Meaning many of them should have been personal email communications instead of taking up class time and running past the class length.,4.0,3.0,"May 16th, 2018",2378289
31,This prof was very challenging but in a good way. She was realistic with her expectations and provided assistance as needed. I had a rough semester due to my full-time job but she was very pastoral yet professional in her approach. This was the most informative religion course I've taken in my college experience.,5.0,4.0,"Apr 8th, 2014",1500841
32,Dr. A is tough and thankfully demands one to earn their grade.  She is most helpful and provides timely constructive criticism that is aimed towards student growth.  I never earned greater than a B from Dr. A. and I am quite fine with that. I am a better student for sitting in her classroom.  She is as helpful as she is hard.,4.5,4.0,"Feb 23rd, 2013",1500841
33,"In my years at Regent, I have never received lower than an A+. I barely made a B- with her. She grades with zero mercy and is extremely unhelpful when I asked for ways to improve my grade. For a 111 class, she teaches a doctorate level course. Her bad grades were completely unfounded and she spoke way over the students heads. DON'T take her.",1.5,5.0,"Nov 12th, 2012",1500841
34,"I have three B's in all of my years of study, and one was in her class.  Extremely time consuming, but worth it.  Don't take her class if you're not a religion major.",5.0,5.0,"Apr 19th, 2012",1500841
35,If you can I highly recommend not taking any of her classes. Her late policy is very strict and she sticks to it like super glue. She has no compassion for student personal issues like Internet issues or sickness. If you miss an assignment due to sickness it's a flat zero. She dislikes working with you showing she doesn't care for your academics.,1.0,5.0,"Dec 8th, 2011",1500841
36,This professor is extremely uncaring. She is strict to her late policy even when you give a ligitamite reason. Absolutely no grace is her tone. I stand with the other students who say don't take her. The work is tedious and a lot. If you miss an assignment you lose out and get a big fat zero. She will make you cry!,1.5,5.0,"Dec 8th, 2011",1500841
37,"She's a tough teacher, but you can really learn a lot from her class. And she's extremely nice and engaging. Don't be put off by other people's opinions of her just because she's hard.",4.0,4.0,"Dec 3rd, 2011",1500841
38,"Part of your class/participation grade in order to get full credit for that day, requires you speak up in class, every class. This became VERY awkward and uncomfortable, especially when religion/theology isn't even your major. The textbook, THE UNIVERSE NEXTDOOR, is a TERRIBLE read. don't take her if you don't have to.",2.5,5.0,"Nov 23rd, 2011",1500841
39,"Extremely condescending. Not helpful in the slightest. Rarely, if ever, gives A's on anything. Never lets you make up quizzes (of which there are many) no matter what the occasion. Gives unclear instructions on projects, papers, etc. I highly recommend NOT taking her course.",2.0,4.0,"Sep 22nd, 2011",1500841
40,"She is very strict, does not give make up quizzes even if you have a note. She gives hard projects that are nothing but a time waste. I tell everyone NOT to take her.",2.5,5.0,"Nov 24th, 2010",1500841
41,"Dr. Ayee is a nice professor, and I think she would do better teaching higher level courses. She is very stern and can be sarcastic at times. ""Quizzes"" are more like tests--50 questions and 3 papers which are not hard because she gives clear guidelines for what she expects. I do not think I would take her again though. I took her at ODU not Regent",2.5,3.0,"Nov 26th, 2014",1283787
42,"Prof Ayee is one of the best professors I have had the pleasure of learning from. Her style is very easying going, but she is firm about what she expects from you. She is patient and listens to her students.",4.5,1.0,"Apr 22nd, 2010",1283787
43,"Dr. Ayee is a very kind and caring professor who is brilliant, and loves to teach her course. She turned what could be a tedious and difficult course into a very interesting and enjoyable course. She cares very much about her students' personal and academic successes.",5.0,2.0,"Feb 22nd, 2010",1283787
44,"Absolutely phenomenal professor. Cares deeply and personally for each and every student, and wants them to succeed. Not the easiest (as in, not an ""Easy A"") but he is clear about his requirements, and if you put in the work, you will do well. Excellent professor and now personal friend. Glad to have taken him every semester of my college career.",5.0,3.0,"Dec 19th, 2014",1696702
45,"Dr. Ayee is an awesome professor that shows great love for his students.  He doesn't give us too much work, but knows our potential and is not afraid to challenge us.  He's super kind and is willing to help any student in a heartbeat.  He has been one of my favorite professors my entire time at Regent.  I'm going to miss him when the class is over",5.0,3.0,"Nov 26th, 2014",1696702
46,"Really great professor focused on making things as stress free as possible!  Bit wishy washy on the syllabus (in a good way).  Cares about each of his students and encourages them to care about each other.  Super great, sweet professor!  Highly recommended!",3.5,2.0,"Nov 10th, 2014",1696702
47,Professor Ayee was sent from heaven! He was available to help when I needed and he made sure we understood the content! Great professor!!,5.0,3.0,"Sep 29th, 2013",1696702
48,"Great teacher, very insightful and participates in online discussions. Be prepared for his standards in writing, mainly APA formatting.",5.0,3.0,"Dec 4th, 2012",1696702
49,"Dr. Ayee values each student and displays a contagious hunger for learning. He is committed to encouraging and challenging each student to be the best they can be. He willingly takes time to take note of student's strengths and maintains a friendly, personable class environment. I look forward to future classes with Dr. Ayee.",5.0,3.0,"Dec 1st, 2012",1696702
50,"Dr. Ayee and his classes are both memorable and transformative. He puts a lot of effort into getting to know the students, not just for sociable reasons, but so he can be an encouragement and a blessing to his students. His classes are far from easy, but it's obvious his intent isn't difficulty for its own sake, but to challenge his students.",5.0,4.0,"Nov 28th, 2012",1696702
51,Another amazing professor. He brings his personal experiences to this class and is willing to interact with you.,4.5,4.0,"Nov 23rd, 2012",1696702
52,"Dr. Ayee is one of my favorite professors as well! He doesn't like stressing his students, so his class is pretty easy-going. He's also very encouraging in your studies and your faith, but especially in your faith. He makes learning the information easy and fun as well!",3.0,2.0,"Nov 12th, 2012",1696702
53,Awesome Professor! He is a motivator and inspires his students!,4.5,1.0,"Nov 1st, 2012",1696702
54,Dr. Ayee is such a great professor. He is filled with joy. He comes to class with such energy that it spreads through the classroom. I have learned a lot from this class and from him. He teaches with examples and it is helpful.,4.5,3.0,"Oct 30th, 2012",1696702
55,"Dr. Ayee is my favorite professor this semester. He is kind, intellegent, and radiates the joy of God. I love his class because not only do I get to learn, but it always lifts my spirits. I have no problem getting up at 8:30 am to go to his class. I hope to have him as my pofessor again soon.I encourage everyone to take this class!",5.0,3.0,"Oct 28th, 2012",1696702
56,"Dr. Ayee is a great professor. He has a lot of experience in the field of professional communication and he shares that this the class. He cares about his students, is helpful, and refreshing. My 8 week class was heavy on the presentations so be prepared for that. Overall a good class!",4.5,3.0,"Oct 11th, 2012",1696702
57,Dr. Ayee made the Cross-Cultural Communication class a very exciting and enjoyable experience.,5.0,3.0,"Oct 5th, 2012",1696702
58,"This professor was not a good professor. He was a horrible grader, and he was difficult to work with. He made the class really hard. Definitely do not take this professor.",2.5,4.0,"Feb 27th, 2012",1696702
59,Prof. Bacon is one of the best professors at Regent University. There are bi-weekly papers in BIBL 105 but it is not too hard at all. You will enjoy him so much!,5.0,1.0,"Nov 20th, 2019",2304872
60,Prof. Bacon is one of the best professors at Regent University. There are bi-weekly papers in BIBL 105 but it is not too hard at all. You will enjoy him so much!,5.0,3.0,"Dec 23rd, 2018",2304872
61,Professor Bacon is one of the kindest professors I have met. Wonderful person and great teacher. I learned a lot and enjoyed the entire class.,5.0,2.0,"Jul 1st, 2018",2304872
62,"GREAT professor! Not only is he knowledgable within the Scripture, he explains it in a way that is easy to understand. Very easygoing and truly cares about his students' success. The powerpoint were made available as soon as class was over and a majority of the information in class was on the quiz. Choose this professor - you won't regret it!",5.0,3.0,"Jun 20th, 2018",2304872
63,Fantastic! He makes the subject matter so much more interesting. He makes everything so easy to understand. I am in an 8 week hybrid course so I really don't have the option of missing more than 1 class. You will have to read but he gives you about 70% of what you'll need for the tests in class. I will definitely look for his name in the future.,5.0,3.0,"Nov 21st, 2017",2304872
64,He literally tells us everything we need in class.,,,,2304872
65,"Dr. Bajah is very caring about his students' success, but takes forever to grade assignments. He strongly emphasizes showing work and proper formatting in every assignment. Three Blackboard Collaborate sessions were held which provided a lot of valuable information. He sometimes took a couple of days to respond to emails, but is very understanding",1.0,4.0,"Dec 27th, 2019",2095087
66,Professor took weeks to grade assignments and did not give constructive feedback. He also was very difficult to get a hold of and never responded to emails.,1.0,5.0,"Oct 22nd, 2019",2095087
67,"DO NOT TAKE THIS PROFESSOR. He will take 10 points off the bat for a comma or period or anything even more trivial being wrong in a citation. He treats this like a PhD English class. He did not post rubrics until the third week and still graded us by them, when we pointed it out he would not let us redo assignments. Way too time consuming!!",4.0,3.0,"Aug 17th, 2019",2095087
68,"Dr. Bajah is very caring about his students' success, but takes forever to grade assignments. He strongly emphasizes showing work and proper formatting in every assignment. Three Blackboard Collaborate sessions were held which provided a lot of valuable information. He sometimes took a couple of days to respond to emails, but is very understanding",5.0,3.0,"Mar 14th, 2019",2095087
69,"Now that I am a Senior at Regent University, I recently took the time to reflect back on the professors who helped me get to where I am at now in my academic career. He is one of the best professors I've had since attending, and I am truly so thankful for him.",,,,2095087
70,"Completely unorganized, and nothing in any of the quizzes are from the weeks reading or study material. I am in my 3rd year and have maintained a 4.0 GPA and have never received anything less than an A. Her grading is not concise and she refused to give feedback this class was confusing and horrific. WORST TEACHER!!!",1.0,5.0,"Mar 15th, 2019",2469699
71,I hated math before this class and he helped me through it.,5.0,3.0,"Aug 17th, 2011",652186
72,Professor Barnum was wonderful. He went out of his way to be helpful!,5.0,3.0,"Mar 29th, 2010",652186
73,Mr. B rocks! He was so helpful and went the extra mile (ok 100 miles) to help me!,5.0,3.0,"Aug 13th, 2005",652186
74,"Awesome teacher! I learned so much from this class about teaching Math (and Science). This professor is creative, genuine, and really wants you to suceed! I highly recommend him.",5.0,2.0,"Aug 13th, 2005",652186
75,Awesome professor. Loved her class.,5.0,3.0,"Aug 17th, 2011",652198
76,She is very sweet and helpful! My fovorite classes where the ones she taught!,5.0,2.0,"Aug 13th, 2005",652198
77,Great teacher and a very fun class!,5.0,1.0,"Aug 13th, 2005",652198
78,"You will love him!  He's way more concerned with how the class will help you in your life rather than reading a book and answering questions about it.  Just follow the syllabus, go to class, and you'll get an A.",5.0,2.0,"Apr 19th, 2012",1712135
79,"If there's one thing I can say about Dr. Baugus is that he absolutely knows what he's talking about. The problem I encountered, however, was with certain assignments not being discussed or mentioned in class. On top of that, HE DROPPED ME FROM THE CLASS LAST MINUTE. Why this happened? I'll never know. Now I have to retake the course over the summer",1.0,3.0,"Jun 17th, 2020",1893532
80,"Dr. Baugus is a phenomenal professor. He is extremely knowledgable of the subject and teaches it in a way that can easily be understood (Econ was tough for me before this). While it is expected that you show up prepared and ready to work, he provides great feedback and shows how you can improve. Responds to emails quickly. I highly recommend him!",5.0,3.0,"May 13th, 2018",1893532
81,"Doctor Baugus gives savage feedback, which is really fun if you're smart. I had a lot of fun, you just gotta read the syllabus and engage in the savagery too.",5.0,4.0,"Apr 13th, 2017",1893532
82,He is a very nice professor and seems to car about the students but does not grade very quickly and lacks feedback on assignments. I went an entire semester thinking I was doing fine because he told me I was but when he graded everything in the last week  of the semester I ended up not passing by a few points.,3.0,3.0,"Dec 1st, 2016",1893532
83,He's a tough and opinionated grader. He's lively and smart on the topic but is hard to get good feed back from. I wouldn't advise taking his classes if you an.,2.0,5.0,"May 5th, 2016",1893532
84,"The class is great if you want to learn. Of you want a skate class, Dr. Baugus's class isn't it. He is at times unclear about due dates, so pay close attention to the syllabus. He grades hard on essays, so be careful. If you care about learning economics, this is a great class for you",3.0,4.0,"Apr 14th, 2016",1893532
85,He knows his stuff. But he just can't seem to communicate the material effectively. The content in class discussions seemed to greatly different from the tests or quizzes. I was lost at test time. ,2.0,5.0,"Dec 14th, 2015",1893532
86,"Professor Baugus is very helpful, he really cares on whether you learn the material or not. He challenges you but is so encouraging you feel like you can do anything! ",4.0,3.0,"Oct 5th, 2015",1893532
87,"Professor Baugus is one of my favorite professors at Regent. He's hilarious and always makes class feel like bonding time. He explained things very clearly in class. I hardly had to take notes because I understood and retained everything immediately. He doesn't offer study guides tho. The one con. He gives A's readily, so long as you know the stuff",4.5,2.0,"Dec 18th, 2014",1893532
88,"Dr. Baugus is extremely well-versed in the business field and teaches in a blunt, applicable-to-real-life way. He will work with you to get your work done and he is always willing to help. His classes usually stay on topic and he does not tend to go on many tangents. Though he is a bit of a tough grader, he teaches well and is one of Regent's best.",5.0,3.0,"Apr 22nd, 2014",1893532
89,"Professor Baumgardner was an easy grader. We used Cengage, which I was not a fan of, but he pretty much gives you full credit as long as you make a fair attempt to complete the coursework and provide good answers (a lot of them were theory-based). He made himself available for any questions or concerns and I enjoyed the class.",5.0,1.0,"Mar 22nd, 2020",2579435
90,"Professor Baumgardner was an easy grader. We used Cengage, which I was not a fan of, but he pretty much gives you full credit as long as you make a fair attempt to complete the coursework and provide good answers (a lot of them were theory-based). He made himself available for any questions or concerns and I enjoyed the class.",,,,2579435
91,"I cannot say enough good things about Professor Beauchamp! This class did take a lot of work, but she is very fair and gives an abundance of resources to help you in succeeding. She gives detailed feedback and grades fairly quickly, which helps for the next assignments. If I got the chance I would go out of my way to take her class again!",5.0,3.0,"Mar 22nd, 2020",2579438
92,"I cannot say enough good things about Professor Beauchamp! This class did take a lot of work, but she is very fair and gives an abundance of resources to help you in succeeding. She gives detailed feedback and grades fairly quickly, which helps for the next assignments. If I got the chance I would go out of my way to take her class again!",,,,2579438
93,"Dr. Bekker is professional, extremely knowedegable, and great public speaker. Combine those three virtues (not easily found in academia), and you have a rare and distinct combination that make for a great professor and lecturer.  You will learn much, but more importantly, Dr. Bekker will help you to synthesize your knowledge.",5.0,4.0,"Oct 24th, 2016",1261801
94,Great teacher who is really knowledgeable and is deeply committed to what he teaches. He cares that you are understanding what he says.,5.0,3.0,"Jul 24th, 2016",1261801
95,Dr. Bekker will change your life with every conversation. If you have the chance please do yourself a favor and take his class.,5.0,2.0,"Jul 4th, 2016",1261801
96,This is the best professor at Regent University. He will change your life spiritually and inspire you to live out your dreams. You will also learn more about the Bible than you ever have before. He is knowledgeable hilarious and well-spoken. His south-African accent is also awesome. Take his class. He is a VERY fair grader. Averaging A- .,5.0,2.0,"Sep 17th, 2014",1261801
