,Comments,Quality,Difficulty,Dates,TeacherID
0,"I actually didn't take his class but worked for him at the theatre for a semester. Like others said, he's quite sarcastic but it made the work fun and his criticism will give you thick skin lol. Get on his level and hurl insults right back at him and he'll like you forever. Rob was so cool I might actually take his class just for fun.",5.0,4.0,"Oct 5th, 2017",531711
1,"Rob is SO much fun! DRAM280 is a fast-paced class because you go through carpentry, light/sound design, stage rigging, electrics, etc. in the course of one semester, so attendance is crucial to keep up, plus you have to assist as run crew in school theater/music/dance productions. Learning all the behind the scenes stuff was so valuable!",5.0,3.0,"Jul 18th, 2016",531711
2,"Rob is an awesome teacher! He is super funny and definitely tries to keep the class alive and having fun. His exams are a little hard. Watts/Volts/Amps on every exam. Overall this class was a very exciting class! I got to learn about stuff way out of my major (ex. tools, paint, lighting, electricity, stage stuff etc.)",5.0,4.0,"Jan 22nd, 2013",531711
3,he's hilarious,4.5,3.0,"May 7th, 2010",531711
4,"Rob has YEARS of professional experience, which in some cases (like in what he's teaching) is more valuable than a PhD.  Students come out of his classes well-trained, capable & confident, able to work at a professional level.",4.5,4.0,"Jan 11th, 2010",531711
5,Fun Professor,4.5,3.0,"Sep 28th, 2008",531711
6,"Was very helpful but is very strict and critiques a lot, but understanding about problems.",3.5,3.0,"Dec 17th, 2005",531711
7,No Comments,5.0,1.0,"Oct 12th, 2005",531711
8,No Comments,4.0,2.0,"Aug 31st, 2005",531711
9,No Comments,3.0,2.0,"Aug 31st, 2005",531711
10,"Gotta love Rob. He's a great guy.  Watch out though, if you don't understand his humor you're likely to get hurt feelings. But I can tell you with 100% certainty that he doesn't mean it that way. He's a real sweetie at heart and would never intentionally hurt someone's feelings. He's just sarcastic.",4.5,3.0,"Apr 14th, 2005",531711
11,It's fun to have his sarcastic and witty comments to tell you that he's just a normal guy!!,5.0,3.0,"Jan 12th, 2005",531711
12,"Great guy, knows his stuff. You will learn a lot with him.",4.0,2.0,"Dec 13th, 2004",531711
13,She is an awesome teacher and she is very helpful.,5.0,3.0,"Aug 22nd, 2016",2093269
14,"Professor Agrigado teaches straight out of the textbook, but the textbook isn't required. She writes notes on the board for you to copy but it's not necessary for you to write down. She gives a study guide before all exams and it'll have all of the notes on there. However, it is keen for you study hard the exams. The only homework is papers.",4.0,3.0,"Dec 22nd, 2015",2093269
15,"She is a good teacher, fair and wants you to succeed. She's open to questions and answers them thoroughly. She makes you want to go to class",4.0,2.0,"May 7th, 2013",1776457
16,She's not fair at all,1.0,5.0,"Apr 15th, 2013",1776457
17,,4.5,2.0,"May 5th, 2010",986852
