,Comments,Quality,Difficulty,Dates,TeacherID
0,"Very knowledgeable and is willing to go over your paper when you have a question on grade. Read the few selected readings, attend class an voila A.",4.5,2.0,"May 9th, 2014",1899925
1,"Abbott is by far the worst professor I have had at UChicago. For some reason he decided to play mind games with me throughout the quarter. His feedback on our weekly essays was not helpful. He even targeted me personally, saying that I lacked intellectual curiosity or was deeply depressed in his written feedback.",1.0,4.0,"Jun 10th, 2021",1153787
2,He is the best of the best in his field. I had a great experience taking his class.,5.0,3.0,"May 24th, 2018",1153787
3,"AA is the kind of UChi Prof one either loves or hates. Contrary to many reviews here, he actually cares a lot about students, tries to get everyone involved, and assign reasonable amount of reading. His style of teaching Power actually allows people to have  the big picture of what is going on , which many young profs here are unable to deliver.",5.0,1.0,"Jul 2nd, 2014",1153787
4,I learned an incredible amount in his class. Extremely intelligent and on top of the field. He could communicate course expectations a little better though.,3.5,4.0,"Aug 19th, 2012",1153787
5,"all in all, tries to be nice, but is not really.  i think that working as an orderly impacted him.  a great deal of sensitivity in someone so sentimental.  danger!  grades very hard.  only favors 1 or 2 kissups in the class.  gossips favorably for a person in his social existence.",1.0,5.0,"Nov 16th, 2011",1153787
6,This professor can hold your attention. He is a fair grader however the stress associated with not knowing how youre doing in class sucks. He's nice and knows a lot about the field. Id never take a class with him again though,1.0,4.0,"Mar 23rd, 2009",1153787
7,Great at leading and encouraging debate. A little arrogant and out of touch though. Be prepared to do more work than what should be expected for this type of class. We had four papers a midterm and a final,2.5,5.0,"Nov 13th, 2008",1153787
8,"Could have been a great class but a lot of people were underprepared.  A lot of the books were mediocre and the work of extremely minor sociologists.  Some good stories though.  I enjoyed a good share of sociology department gossip.  Yes, sociologists actually gossip too.  We talked about cher and her hair styles all the time. :)  Really..",3.0,5.0,"Jul 11th, 2008",1153787
9,Average,3.0,4.0,"Apr 5th, 2014",165523
10,The most energy I have ever seen a professor put into teaching in my 4 years at the university. Very accessible.,5.0,5.0,"Jan 31st, 2014",165523
11,He's an extremely helpful and approachable professor.  The material isn't always easy but you won;t have too hard of a time if you visit him during office hours.  I would say he's not as difficult as people say he is.  You just need to ask for a lot of help which some people aren't comfortable doing.,5.0,2.0,"Apr 27th, 2012",165523
12,too old to be teaching. teaches regular physics at an honors level. This is not helpful for people that aren't really really good at physics,2.0,5.0,"Sep 8th, 2011",165523
13,"Prof. Abella teaches a very rewarding E&M course. He presents advanced mathematical framework in E&M whenever possible. He also holds his students to very high standards on homework, attendance, and participation (a very good thing).",4.5,4.0,"Sep 17th, 2007",165523
14,"Isaac Abella is nothing short of an extraordinary teacher.  His lectures are clear, explaining the material in an organized manner that leads from one topic to another with a fair amount of fluidity.  I took his Honors E&M class(142) and while the problems were very difficult, they were certainly fair and we were well-prepared.",5.0,4.0,"Sep 1st, 2007",165523
15,"Dr. Abella was THE BEST professor I had in college. Not only did he love the material he taught, he was a socially conscious man who cared deeply about helping undergrads understand their place in both academics and society at large. I miss my talks with Dr. Abella and I hope he is still doing the same for other young students.",4.5,4.0,"Jun 22nd, 2007",165523
16,I had him for my Freshman Physics class back in 1984 and he is the one who got me interested in becoming a physics major.  I loved his enthusiasm and teaching style.  I ended up getting my PhD in Physics because I had such a good experience.,5.0,3.0,"Nov 15th, 2006",165523
17,"I went to his office hours and found him very helpful, even though I was over my head in his course.  His course was difficult, but he did his best to make everything clear.  He strikes me as a man with a conscience, someone who cares about students and about making a positive impact on the world through his teaching.  Fine, but still, I got a C!",5.0,4.0,"Apr 22nd, 2006",165523
18,"Fairly easy, but just not a very interesting or helpful teacher. Not worth going to class.",2.0,3.0,"Apr 14th, 2006",165523
19,No Comments,4.0,3.0,"Sep 18th, 2005",165523
20,Abella is the sweetest man in the world!,5.0,1.0,"Sep 15th, 2005",165523
21,Excellent professor.,5.0,3.0,"Mar 16th, 2005",165523
22,quirky and challenging; best out of three physics professors ive had at u of c,5.0,4.0,"Apr 10th, 2004",165523
23,Excellent professor.,4.0,3.0,"Mar 9th, 2004",165523
24,"His board notes may be all over the place, but he's brilliant.",4.5,3.0,"Aug 18th, 2003",165523
25,No Comments,4.0,3.0,"Jul 28th, 2003",165523
26,No Comments,5.0,4.0,"Jun 5th, 2003",165523
27,"abella's great-- he's a lot of fun to watch, and he's always friendly and helpful-- although i've heard that people don't like him, i really can't see why...",5.0,4.0,"Apr 18th, 2003",165523
28,No Comments,1.0,3.0,"Mar 14th, 2003",165523
29,Not great.,2.5,3.0,"Apr 5th, 2014",127199
30,No Comments,3.0,3.0,"Sep 18th, 2005",127199
31,No Comments,5.0,3.0,"May 12th, 2004",127199
32,No Comments,5.0,2.0,"Mar 21st, 2003",127199
33,Very hard,4.5,5.0,"Mar 17th, 2003",127199
34,No Comments,4.5,3.0,"Feb 20th, 2003",127199
35,Definitely a wonderful professor that is very knowledgeable in his field.,4.5,3.0,"Feb 11th, 2003",127199
36,"Prof. Adukia made me want to study economics of education. She made the material very accessible, despite the subject material being tough.",5.0,4.0,"Nov 29th, 2020",2644522
37,"Prof. Adukia made me want to study economics of education. She made the material very accessible, despite the subject material being tough.",,,,2644522
38,"Hussein is the best self, culture, and society teacher out there. his class is super unstressful grade-wise, but he challenges to really learn the material by calling out bs in class and making you read and write to the best of your ability. If you wanna not worry bout grades too much but wanna really learn something, then take his class.",5.0,4.0,"Feb 24th, 2015",1126375
39,"Hussein is literally a god. His class is tailored not be stressful, but he really engages the class well. Many other Core professors are just fine with you saying dumb stuff you barely remember after skimming the 10-50 pages out of your 200 page reading assignment, but Hussein isn't afraid to ask the hard questions.",5.0,1.0,"Sep 6th, 2014",1126375
40,"Engaging lecturer, he will transform your way of thinking in a brilliantly artful manner..",5.0,4.0,"Mar 7th, 2013",1126375
41,"amazing, wonderful, kind, brilliant and truly committed professor. he makes the texts and argument come to life. i feel as though i've learned more from him than from any other professor at chicago.",5.0,3.0,"May 13th, 2010",1126375
42,phenomenal,4.5,3.0,"Mar 9th, 2010",1126375
43,Dr. Agrama is amazing!,5.0,4.0,"Dec 16th, 2009",1126375
44,She's super knowledgeable and explains really difficult topics in a concise and understandable way. Her office hours for essays and assignments were maybe the most helpful office hours I have ever been to. Take any class she teaches,5.0,4.0,"Jan 13th, 2021",2505522
45,She's super knowledgeable and explains really difficult topics in a concise and understandable way. Her office hours for essays and assignments were maybe the most helpful office hours I have ever been to. Take any class she teaches,5.0,4.0,"Jul 15th, 2019",2505522
46,Highly recommend taking any course she teaches.,,,,2505522
47,i'm in her 9:00 am class and she puts me to sleep she expects to give her respect but how can you when shes on her phone the whole time my friends from 10:00 am class love her but i can she why is lazy and assigns pointless work she wastes class time by making you write stupid jounrals because truth is that she dont know what to teach,1.0,1.0,"Oct 26th, 2009",1276415
48,"Professor Alitto is respected, and his experiences of visiting China and talking with Shuming Liang made him knowledgeable and confident of what he is teaching. Organized and humorous.",4.0,3.0,"Aug 29th, 2017",405521
49,Fantastic professor.,5.0,1.0,"Dec 9th, 2011",405521
50,He IS the wicked funny professor from the Cartoon History of the Universe series.,4.5,3.0,"Apr 10th, 2006",405521
