,Comments,Quality,Difficulty,Dates,TeacherID
0,Peter Achinstein is one of the best philosophy professors that Johns Hopkins has to offer.,5.0,3.0,"Apr 7th, 2019",842746
1,Don't take intro to logic. I went to this guy and both of the tas when I was failing the course and they offered no help. Makes you buy his own book which doesnt have an answer key for non homework problems like any normal math book. This makes it so you can't do add. practice outside of the ridiculous hw grades you on for 25% of your cumulative.,1.5,5.0,"May 3rd, 2013",842746
2,He fails you if you miss one homework assignment. There is no curve and the homework assignments (worth 25% of your final grade) are difficult. The tests are straightforward but he likes to make the final hard. Not very many As...,4.5,5.0,"May 25th, 2012",842746
3,"Intro to formal logic. Great teacher, quite funny at times, but it irks me so much when he misses a spot while erasing the blackboard (which is ALL THE TIME). Make sure you have a good TA because the HW problems can be HARD. He likes to challenge you with HW problems harder than any example done in class. Tests are doable. Little to no reading.",5.0,3.0,"Apr 14th, 2011",842746
4,Awesome teacher. I've never seen a prof encourage so much discussion while always keeping it on topic. Encourages serious thinking and really challenges his students. Best of all - he's really there for the students... caring and always willing to give his insight.,4.5,5.0,"May 4th, 2010",842746
5,Definately only means for Philosophy Majors.  Do not take without at least a BA in philosophy.,2.5,4.0,"Dec 5th, 2006",842746
6,"Awesome teacher, just make sure you do the homework,; if you miss just one, he fails you.",5.0,3.0,"May 4th, 2006",842746
7,"Adler expects a lot, but he makes it a priority to get to know all of his students so he is more understanding. Make sure to read his instructions. He grades fairly. I would take another class taught by him.",4.0,3.0,"Mar 5th, 2016",2109481
8,"Prof. Agarwala is truly amazing! She dedicates a lot of time and effort to help her students succeed both academically and personally. You should be prepared to read a lot and engage deeply with the materials. Also expect to think about things in new ways, which might be challenging + take getting used to but that's a part of intellectual growth!",5.0,4.0,"May 12th, 2021",1499494
9,"Prof. Agarwala is truly amazing! She dedicates a lot of time and effort to help her students succeed both academically and personally. You should be prepared to read a lot and engage deeply with the materials. Also expect to think about things in new ways, which might be challenging + take getting used to but that's a part of intellectual growth!",5.0,4.0,"Aug 27th, 2020",1499494
10,"Professor Agarwala's class is mostly discussion-based, some led by her and some by students. The material is challenging but she's super smart and a fantastic teacher and I learned a lot, even though it was a lot of work. Would and will take a class with her again!",5.0,3.0,"Apr 24th, 2017",1499494
11,Best teacher I've had at Hopkins. Worth taking a class to have her as a teacher.,5.0,3.0,"Apr 8th, 2014",1499494
12,Took Issues in International Studies.  Great class.,5.0,4.0,"Nov 2nd, 2011",1499494
13,"Excellent teacher, great lecturer. Make sure to go to class since she does not post slides online. Also, her biggest pet peeve is people not doing the readings so make sure to do them even though there's a lot. Her classes are really well organized and interesting.",5.0,3.0,"Nov 21st, 2010",1499494
14,"Great teacher, very organized class and very helpful through email and office hours. Top on my list for sociology professors.",,,,1499494
15,Worst teacher ever. Boring. Not understandable. Moody.,1.0,4.0,"Dec 20th, 2010",1464017
16,"Impossible to understand. If you have to take calc, take it during covered grades because it is impossible to learn anything from him, let alone get a good grade. SWITCH TO ANOTHER PROF",1.0,5.0,"Dec 10th, 2010",1464017
17,"worst professor ever. killed my morale and my GPA. do NOT take any class with alan, i've had to learn everything by myself. also his exams are multiple choice, which is really dumb for a math class",1.5,5.0,"Nov 11th, 2010",1464017
18,Hard to understand (its the Turkish accent) and not welcoming. Has a strange sense of humor probably due to language barrier.,2.0,1.0,"Oct 29th, 2010",1464017
19,cant understand anything he says. moves way too fast. does not walk thru new material. im dying,1.0,5.0,"Oct 18th, 2010",1464017
20,Can't understand a word this guy says. My TA would be a far better prof.,1.5,3.0,"Sep 15th, 2010",1464017
21,,1.0,4.0,"Aug 10th, 2010",1464017
22,Most important class I took as this class built a foundation for the other engineering classes I took. Hedy is a great professor and really cares that you learn. He's easy to approach and gives really great lectures--but you must do your part.,5.0,4.0,"Nov 15th, 2016",1737234
23,"Hedy is knowledgeable, attentive professor toward his students, and a good and caring mentor.  You definitely have to put you effort in class to succeed.  He us a fair grader, yet, expect earnest effort.  He will let you know if your performance is subpar.  Good professor!",4.0,4.0,"Nov 10th, 2016",1737234
24,"Hedy is my favorite professor here at Hopkins. He's extremely caring, and on top of that, an amazing professor. EnvE is a lot of tough work, and he always makes sure that his students understand the material.",4.5,2.0,"Mar 30th, 2016",1737234
25,"Although EnvE is a lot of work, Hedy is a great professor for the course. He's so funny, easygoing, and really cares about his students. He always greets his students when they come in (""Hello,  I missed you!"" or ""How are you doing?""). He makes sure his students are paying attention and truly cares that they are getting a good education. ",3.5,3.0,"Nov 4th, 2014",1737234
26,"Dr. Alavi is very knowledgeable and helpful. Though, to have a good grade, you need to do your part.",5.0,4.0,"Aug 9th, 2014",1737234
27,Hedy is wonderful with Intro to Environmental Engineering. Definitely more work than I anticipated but he definitely just wants you to be interested and learn the overall concepts not the equations and numbers. Great class when you stay awake...,3.5,2.0,"Nov 10th, 2012",1737234
28,Tim is very knowledgeable and flexible as far as meeting times go. This was especially important since most AAP students are located in different time zones.,4.5,3.0,"May 17th, 2016",2146060
29,learned very little from the professor had to teach my self from the book in order to pass,1.5,4.0,"Mar 19th, 2016",1251835
30,a good professor,5.0,1.0,"Dec 29th, 2014",1251835
31,"He's the best professor ever, he was very good about feedback and our entire group loved and respected him by the end of the semester",5.0,4.0,"Oct 31st, 2017",2042185
32,"Prof. Altschul is extremely warm and friendly. She conducts class completely in Spanish and speaks at a native pace so be prepared for that. Class had an extremely manageable amount of reading - some reading was in English, some in Spanish. Overall, I had a great experience with her and would definitely take a class with her in the future.",4.0,2.0,"Oct 23rd, 2011",1629849
33,"I didn't go to many classes, but when I did go, he sounded pretty clear to me. He wants you to learn, and the hws are fair (except for one problem every once in a while). Exams are straightforward. You will have to work in his class, but he doesn't overload you with crap. His handwriting could be better.",3.5,3.0,"May 7th, 2010",1175325
34,"He's very bright, but sometimes has trouble explaining complex concepts clearly in lecture. You'll do well if you keep up with the material. Some homework problems are just unfair, but that's probably the way it is with any math class.",3.5,3.0,"Apr 22nd, 2010",1175325
35,Be prepared for difficult questions in the exams,3.0,4.0,"Apr 19th, 2009",1175325
36,"Class is challenging, but Ambro does a better job than most at explaining the material. He has an accent, but if you're not American you can understand him better, also because foreigners are generally accustomed to a more systematic, learning-based system rather than memorization. He is very helpful if you take the time to talk to him.",4.0,4.0,"Dec 26th, 2008",1175325
