,Comments,Quality,Difficulty,Dates,TeacherID
0,"Like an earlier reviewer said, you will enjoy this course and get a great deal out of it if you do the reading and come prepared to have a conversation. Professor Ackerman values different opinions and you will gain his respect, not lose it, if you disagree with his arguments but can raise even a reasonable defence of your position.",5.0,4.0,"Jan 27th, 2017",839444
1,"He's fantastic if you do the reading. Like all good things in life, you only get as much out of his course as you're willing to put in.",4.5,3.0,"Jan 20th, 2016",839444
2,he knows his material!,5.0,5.0,"Aug 7th, 2009",839444
3,"Arrogant, rambling, class adds nothing to just reading his book.",1.5,1.0,"Sep 8th, 2008",839444
4,No Comments,5.0,3.0,"Mar 21st, 2008",839444
5,No Comments,1.5,2.0,"Nov 10th, 2006",839444
6,Worth taking his class. A great teacher,4.0,3.0,"Mar 29th, 2017",1348108
7,Great!,3.0,3.0,"Dec 20th, 2011",1348108
8,"This was a very useful class, I am very interested in learn Spanish, because a lot of people in south america speak Spanish. In my home, we will start to practice spanglish.",5.0,3.0,"Aug 11th, 2010",1348108
9,"Fantastic teacher! Works hard and willing to help if you initiate. Not the most open guy, but if you get to know him and spend time picking his brain about problems, turns out to be a pretty great guy.",4.0,5.0,"Jan 2nd, 2016",597242
10,"Very good for Differential Equations, explains things quite clearly. Sometimes goes off on unrelated tangents, but they are generally interesting.",4.0,4.0,"Feb 9th, 2012",597242
11,No Comments,2.5,5.0,"Mar 4th, 2006",597242
12,"The derivations he spends so much time on, during every class for the whole of the class, would only be necessary to know if you should happen to find yourself stranded without a physics text and a desperate need to finish your problem set. Not actually learning physics. Very frustrating.",1.0,5.0,"Apr 14th, 2005",597242
13,"Take 151 or 201. Honestly, what he talks about in class does not help at all to clarify homework. He concentrates so hard on deriving equations that simple conceptual stuff as well as problem solving with numbers simply gets ignored, leaving you feeling stupid when you start doing homework.",1.5,4.0,"Apr 14th, 2005",597242
14,"(to Moderator, class taken spring 2013) Prof. Ahn is really a good teacher and pushes students to work hard (weekly assignments upwards of 14 hrs). He is very fair and incredibly brilliant, but also doesn't have an ego. Can come across somewhat robotic just because he understands things so well. Good guy inherently.",4.0,5.0,"Jan 9th, 2016",2099651
15,great,1.0,2.0,"Sep 13th, 2020",2404072
16,I would like to see her credentials. She is a horrible teacher with zero sense of direction.,1.0,2.0,"Sep 13th, 2020",2404072
17,Biggest waste of time. You will pass if you can stand to show up every day.,1.0,3.0,"Sep 9th, 2020",2404072
18,"Everything was disorganized because she is lacking in computer savviness. No one knew what was going on. Take another class or another professor, if at all possible. You will thank me later.",1.0,4.0,"Mar 5th, 2020",2404072
19,She could be more better to be organization.,1.0,2.0,"Feb 14th, 2020",2404072
20,BAD ALL AROUND. LUCKILY I WAS ABLE TO DROP THIS CLASS BEFORE IT WAS TOO LATE.,1.0,2.0,"Feb 7th, 2020",2404072
21,Bring your pillow when you attend her class. You are guaranteed to fall asleep and catch some ZZZs,1.0,1.0,"Jan 14th, 2020",2404072
22,"Terrible, really terrible. Basically you learn nothing from an inexperienced professor.",1.0,3.0,"Jan 14th, 2020",2404072
23,"If you aren't a big fan of cultural Indn studies, stay away. She will take the interest out of you.",1.0,3.0,"Dec 31st, 2019",2404072
24,"Her delivery includes sleep-inducing and trailing off-topic lectures. Enroll and learn little, if anything.",1.0,3.0,"Dec 30th, 2019",2404072
25,The quality of her teaching can be summarized with one word: abysmal.,1.0,2.0,"Dec 30th, 2019",2404072
26,The worst professor here. Select another.,1.0,3.0,"Dec 17th, 2019",2404072
27,"If you want to actually learn something important, select a different professor.",1.0,2.0,"Dec 17th, 2019",2404072
28,Subpar is an underestimation.,1.0,3.0,"Dec 14th, 2019",2404072
29,Bad professor,1.0,3.0,"Dec 14th, 2019",2404072
30,This professor and class are not worth leaving your dorm for,1.0,2.0,"Dec 14th, 2019",2404072
31,Stay away from any of her courses. You will encounter tremendous challenges in understanding her.,1.0,2.0,"Dec 13th, 2019",2404072
32,"She may have a degree, just CANNOT teach. Terrible accent and loses you as she teaches. Take someone else for this interesting class. Professor, If you are reading this, please focus on your group dance. I think you may have better luck doing that. Your problem is that you mix everything and lose track.",1.0,2.0,"Dec 13th, 2019",2404072
33,Avoid any classes taught by this woman. She is simply incapable of leading an interesting group discussion and her lectures are dull and irrelevant 99.99% of the time. The biggest lesson I learnt from her and her class: Never take her again.,1.0,3.0,"Dec 13th, 2019",2404072
34,"Impossible to understand. She's inconsistent and unclear. AVOID. Very unorganized and it is hard to stay focused in her class. If you're unlucky to get stuck with her, try to self teach.",1.0,2.0,"Dec 13th, 2019",2404072
35,Boooooorrrrriiiiiing Boring,,,,2404072
36,wonderful,5.0,4.0,"Jan 19th, 2016",204152
37,"Fantastic...take this class, even if youre not interested in Spanish (just for the pleasure of having Alexandrov as a teacher).",5.0,3.0,"Dec 10th, 2004",204152
38,Made class really enjoyable. Would DEFINITELY recommend.,5.0,2.0,"Sep 2nd, 2003",204152
39,No Comments,1.0,2.0,"Aug 20th, 2003",204152
40,No Comments,5.0,2.0,"May 3rd, 2003",204152
41,"Amazing teacher, and I hate biology. Didnt bother buying the text book use the copy in the library, made an A. piece of cake, really.",5.0,1.0,"Nov 18th, 2011",655241
42,Awesome teacher!  An inspiration...,5.0,4.0,"May 18th, 2006",655241
43,"Professor Alryyes is truly a special professor, his combination of texts and his contribution of knowledge makes him unique, i even bought his book, However do not expect an easy class but if any History Major will leave feeling confident of their ability and the business they entered to but expect a whole lot of reading",5.0,3.0,"Dec 3rd, 2013",543303
44,Professor Alryyes is a fascinating discussion leader.  He is a caring teacher and assigned interesting reading material.  He is someone who I can write a paper to.,5.0,2.0,"Apr 17th, 2012",543303
45,"He's a nice person I'm sure but not a good teacher. Tends to talk more about himself than about the subject, constantly off on tangents, very defensive if questioned and cannot handle being disagreed with. I hear he's better with the undergrads. Read his book, skip the class.",1.0,3.0,"Jan 27th, 2017",712391
46,"Good lecturer and very approachable. You will be getting his opinion, but he doesn't grade your papers, so don't worry about agreeing with him. My TA was haute :) Make sure you find a good one.",3.5,5.0,"Apr 22nd, 2013",712391
47,Took ConLaw with him as an undergrad- LOVE!,5.0,5.0,"Apr 15th, 2012",712391
48,Awful class.  Amar is a little too full of himself to make this an enjoyable experience.  He is incredibly smart and spends the entire class trying to show that to you.  Way better classes available at Yale,1.0,4.0,"Jan 10th, 2010",712391
49,Con Law was an amazing class that I really enjoyed. Sometime lectures were a bit hard to follow in that he speaks very quickly. Section for this class was very helpful.,4.0,5.0,"Jul 2nd, 2009",712391
50,"you are getting his view, but it’s a good one and you learn a ton.",5.0,3.0,"Feb 21st, 2006",712391
51,A horrible teacher. Avoid at all costs.,1.0,1.0,"Jan 11th, 2006",712391
52,awesome!,5.0,3.0,"Jan 10th, 2006",712391
53,"One of the best classes at Yale. Amar is a great lecturer, but he goes on tangents realllly easily so take good notes! And also find a good TA.",4.0,3.0,"Sep 29th, 2005",712391
54,"dull when speaking, he is awful at making his subject entertaining and does not get the class talking, preferring the sound of his own voice which is sleep inducing and boring.",2.0,2.0,"Jul 9th, 2009",422279
55,Sex and Sexuality in Ancient Greece and Rome- taught at Trinity. The kind of professor who is intelligent and passionate about his subject matter. Join only if you're a serious student. Tries to induce interest with media.,3.5,2.0,"Jan 10th, 2008",422279
56,"Really hard course, not any fun. He knows his stuff but he's not great at sharing",2.0,5.0,"Dec 17th, 2007",422279
57,"He makes me want to sleep.  If you look around at the end of lecture, over half the class is sleeping.  An interesting class if you can stay awake, though.",4.0,1.0,"Dec 30th, 2005",422279
58,"lectures slightly boring, but overall an easy/interesting course.  recommended.",4.0,1.0,"Oct 22nd, 2004",422279
59,"His class, Math, Le Corbusier, and the Predicament of Modern Man changed my life",5.0,5.0,"Feb 23rd, 2003",145877
60,Put your skills to the test out on the field with Professor Aparicio!!! Hes been in the pickup field for a little over 2 decades now and hes super experienced!!! He oversaw my internship in the most professional manner! Love this guy!!,5.0,3.0,"Jun 4th, 2020",2604087
61,Put your skills to the test out on the field with Professor Aparicio!!! Hes been in the pickup field for a little over 2 decades now and hes super experienced!!! He oversaw my internship in the most professional manner! Love this guy!!,5.0,2.0,"Jun 4th, 2020",2604087
62,She aint yours... BOI!! A must take. Never disappoints!,5.0,2.0,"Jun 4th, 2020",2604087
63,"Professor Aparicio is the GOAT. Such an easygoing dude for an interesting class. Online exams and no homework whatsoever. Hes straight to the point and honest that even though it might be offensive, its still funny as hell. Take him! Got an A!",,,,2604087
64,take her intro to human brain and thought class.,4.0,2.0,"Dec 11th, 2011",780568
65,"Awesome, awesome prof",5.0,3.0,"Dec 30th, 2005",780568
66,Good,3.0,3.0,"Dec 27th, 2016",711982
67,No Comments,4.5,3.0,"Jan 4th, 2007",711982
68,"Funny in class, mile-a-minute lectures, nice guy.",5.0,4.0,"Sep 29th, 2005",711982
69,One of the real gems in the academic world. A tough grader; a tone of reading; but I feel like I took five courses for ever one he teaches. Amazing.,5.0,5.0,"Jun 17th, 2016",323396
70,No Comments,4.0,5.0,"Dec 17th, 2003",323396
71,This class makes you hate history as a whole.,1.0,5.0,"Dec 7th, 2011",247575
72,No Comments,3.5,3.0,"May 13th, 2006",247575
73,No Comments,3.5,3.0,"Sep 23rd, 2005",247575
74,No Comments,5.0,4.0,"Aug 30th, 2005",247575
