,Comments,Quality,Difficulty,Dates,TeacherID
0,Harsh but very effective:),4.0,3.0,"Feb 21st, 2006",151071
1,"Very Helpful...unique teaching style, so class is never boring.",2.0,3.0,"Oct 14th, 2005",151071
2,"She is an excellent professor...probably my favorites.  Her classes are some work, but she makes it delightful.  she has a lot to say and many stories to say it with.  take her, it's worth it.",5.0,3.0,"Oct 10th, 2005",151071
3,"It has been almost a decade since I had Kathryn Abbot's history class, and it has still stuck with me. She's a great professor if you enjoy learning. I was a science major taking history as a required elective, so this isn't just some sycophantic comment. She's good, and certainly deserves all the credit for it.",5.0,4.0,"Oct 6th, 2005",151071
4,No Comments,5.0,4.0,"Sep 18th, 2005",151071
5,She was a very hard grader. But she did help me find articles for my paper.,3.0,4.0,"Sep 6th, 2005",151071
6,Wonderful course,4.5,4.0,"Sep 1st, 2005",151071
7,Lots of fun with additional material and props.,3.5,1.0,"Nov 23rd, 2004",151071
8,"Good histroy, fair story-telling.",3.5,1.0,"Aug 27th, 2004",151071
9,No Comments,5.0,3.0,"Jul 2nd, 2003",151071
10,she is very disorganized and does not give any tests. This is a plus to having no tests because you can sit on your lap top or eat food during the entire class and there won't be any negative repercussions. She is for sure an easy class but be prepared to keep yourself busy because the topics will put you to sleep. ,1.5,2.0,"Dec 4th, 2014",1368833
11,I loved her! I wish she would stay at WKU instead of going to PA! She def one of my fav professors! She does lock you out if you don't show up on time but it does stop interruptions. The tests are not hard. I enjoyed going to every class even though its not mandatory. I loved her personality!!,5.0,1.0,"May 16th, 2010",1368833
12,"She's gorgeous to me. Intimidating at first but very friendly. Must be on time to class or you are locked out. Attendance not mandatory but she does give out information that you will need on tests sometimes. Extra credit given. Tests are easy. No homework given. Ten reaction papers due, very easy. Participate, she's fun! One of the best teachers!",5.0,1.0,"Apr 26th, 2010",1368833
13,,4.5,3.0,"Apr 6th, 2010",1368833
14,"Colin is one of the most dedicated professors at SLC. He is always willing to help his students, and also has an excellent sense of humor. All his lectures are clear, organized, and very entertaining. Would highly recommend!",5.0,3.0,"Oct 14th, 2014",475910
15,"This guy constanty eyes, and makaes faces at, the girls on the front row of the class.  If you're one of them, you'll probably do great.  He doesn't even like to talk to you much if you're a guy.",2.5,3.0,"Jan 27th, 2006",475910
16,"This class was way easier than it should have been. Take Abernathy, you almost have to try to fail.",4.0,1.0,"Sep 23rd, 2005",475910
17,He made this class much more difficult than it could have been.  He was very unhelpful and didn't explain things well or give examples.  He didnt' prepare us well for the tests.,2.0,5.0,"Jul 23rd, 2005",475910
18,"His lecture method is extremely easy to follow. He puts all the notes on the board, but he goes a little fast.",4.0,4.0,"Mar 9th, 2005",475910
19,Teaches somewhat better than most in her field.,3.0,3.0,"Oct 26th, 2004",475910
20,"The content isn't difficult, but she grades tough and doesn't communicate  with students. If you get an 89.9, it won't be an A, nor will she give you a chance to earn an extra 0.01 pts. I made a 96 on midterm and final, completed all assignments, and still got a 89.7 B.",2.0,4.0,"Dec 14th, 2011",1667514
21,"His lectures are good and he shows examples written in code on the board. My only issue was his instructions were unclear sometimes, and then you didn't get feedback on what you did wrong. It was a good entry level class though.",3.0,5.0,"Mar 1st, 2021",2136814
22,"Homework was hard to understand, and didn't nearly always line up with the textbook. Grading was impossible to interpret, with little feedback as to what was wrong. The final seriously threw me for a loop, as it was entirely different material than what was covered. I was also 1 out of 3 females in his class, but he did not treat me unfairly.",2.0,2.0,"Jan 28th, 2021",2136814
23,"He's not that bad, but he relies heavily on his textbook and doesn't actually teach anything. I had an A the whole semester and at the end he accused me of cheating and gave me a bad grade on the final project. I won't get into too much detail, but I've lost all respect for him.",1.0,5.0,"Dec 16th, 2020",2136814
24,"I was one of 3 females in the class. I had coded in Python before (and had made him aware of that) so of course I would know more and all of my codes worked fine but he still counted points off, sometimes whole letter grades for ""doing things we hadnt covered in class"". Again, I knew exactly what I was doing. Most my guy friends made A's....",3.0,3.0,"Jan 23rd, 2020",2136814
25,"If you study and take good notes you can do well in this class. The homework is graded generously, and you are allowed to look back at direct examples of programs for labs. The final was pretty difficult, however. Make sure you answer in-class questions as extra credit is given and really help your grade. Don't be shy and miss out on easy points!",1.0,5.0,"Dec 16th, 2019",2136814
26,I would never take this professor again in a million years. He's an EXTREMELY TOUGH grader and counts points off even if you do something a little extra. NOT an introductory course. DO NOT TAKE. SWITCH PROFS ASAP.,1.0,5.0,"Dec 16th, 2019",2136814
27,"Take a Different teacher or drop the class! THIS WAS NOT A INTRO CLASS! There was no textbook, homework was HARD to understand. The teacher doesn't respond to emails in a timely manner often took 4 days to respond and 8-20 hours a weekend worth of work. No time for questions in class and HW samples didn't help with HW. This is my first ""C"". GL!",1.0,5.0,"Dec 10th, 2019",2136814
28,Would not take again.,1.0,5.0,"Dec 10th, 2019",2136814
29,DO NOT TAKE HIS CLASS. TOUGH GRADER AND COUNTS OFF FOR DOING EXTRA.,4.0,3.0,"Nov 13th, 2019",2136814
30,"His lectures are good and he shows examples written in code on the board. My only issue was his instructions were unclear sometimes, and then you didn't get feedback on what you did wrong. It was a good entry level class though.",1.0,3.0,"Oct 4th, 2019",2136814
31,"His vlab website and the homework sucks at knowing what is correct code and what isnt. It doesnt take into consideration that there is more than one way to solve a problem. He also counts off for doing extra, which sucks because I have coded in that language before. The only reason I took the class is because i couldnt step test out of it. GL yall",3.0,4.0,"May 17th, 2019",2136814
