,Comments,Quality,Difficulty,Dates,TeacherID
0,Professor Abramova's class was interesting and informative. She is very helpful and kind. Lots of opportunity for extra credit and bonus points. She is intelligent and enjoyable. Excellent professor!!!!,5.0,2.0,"Jan 6th, 2014",1338403
1,"She does have a russian accent which makes some understanding difficult, however if you read the chapters it will fill in any holes. I got A's in her class. Most people just aren't willing to do their ""homework"" and studying is the only homework. She teaches from the book so if you put in a little effort you can glide through the class.",3.0,3.0,"Oct 20th, 2010",1338403
2,Harder to understand but gives a lot of bonus of quiz and exam,2.0,2.0,"Jun 30th, 2010",1338403
3,"The class was very difficult to follow, as she was very disorganized in her presentations and notes. Her lectures were difficult to understand due to her thick accent. If you are in her class, and do not understand chemistry very well, get a tutor intermediately.",1.0,5.0,"Jan 26th, 2010",1338403
4,"Natasha has trouble teaching chemistry because of her strong Russian accent. Along with this, she lacks organization and clarity with her in class notes. Be ready to do a lot of self teaching in this class!",1.0,4.0,"Oct 19th, 2009",1338403
5,Hardest class I have ever taken. He starts the class saying that no answers are wrong answers as I proceeded to receive 3 D's in a row on 3 consecutive tests and quizzes when I tried my hardest to answer the questions fully to my best ability.,1.0,4.0,"Aug 22nd, 2020",2487898
6,Therese is an amazing teacher who is willing to meet with you anytime you need and will do the work with you. Reading the book is a must since she breezes through lectures. She post her lectures with each module but leaves out some important details that are only found in the book.,3.0,4.0,"May 12th, 2021",1976041
7,"Therese is an amazing person, through and through. She publishes lectures on Canvas and then goes over them again in class, but doesn't really elaborate or answer questions efficiently. In other words, she wastes class time. Quiz and test heavy, big time! Gives no helpful feedback. Office hours are hard to get into. Doesn't explain material well.",4.0,4.0,"Mar 31st, 2021",1976041
8,Therese is an amazing teacher who is willing to meet with you anytime you need and will do the work with you. Reading the book is a must since she breezes through lectures. She post her lectures with each module but leaves out some important details that are only found in the book.,5.0,4.0,"Dec 11th, 2020",1976041
9,"Amazing professor, even with COVID-19 being a barrier. Very understanding and kind, you will learn a lot and have to work very hard but it will be worth it.",5.0,4.0,"Dec 19th, 2018",1976041
10,"Therese is wonderful at what she teaches. The material is difficult, but she is more than willing to meet with you outside of class even up to the last minutes before an exam. She is supportive and approachable, I would definitely take another class with her again.",4.0,3.0,"Dec 7th, 2017",1976041
11,The tests are worth a lot but they aren't super tough and she gives out study guide/worksheets that tell you exactly what will be on the test. Sometimes the practice questions she gives are the exact same as the test. She is also very approachable and is always willing to help. Lectures are very informative.,5.0,5.0,"Oct 26th, 2016",1976041
12,"Mrs. Anderson is a wonderful teacher and knows how to come at a concept many different perspectives. She wants you to learn, and I want her for all my science classes.",5.0,4.0,"Jan 12th, 2015",1976041
13,"I took her for organic chem lab. I received an A- because i wasn't sure how she grades pre and post labs. If i have taken her for gen chem, i should have received better grades because i would've known how she grades and what she looks for in the lab notebook More than helpful if you get help from her! Loved her lab, except for the final grade",,,,1976041
14,"Strict about attendance and late work, but really kind and professional and knows a lot about writing. He was always happy to give extra help. I would love to take another class with him because I became a much better writer after taking his EH 123 section. If you just want an easy class without much writing, I'd suggest finding another section.",5.0,3.0,"Aug 26th, 2014",1856599
15,"Incredibly disorganized, very opininated. Can never tell whether he's going to be in a good mood or bad mood. Overall nice, but never follows through on what he says he will do (post grades, give back papers) Haven't really learned much in his class. Don't recommend this professor.",1.5,3.0,"Nov 26th, 2013",1856599
16,"There were no surprises with this course. Everything that is expected is clearly outlined in the syllabus. Tests are a heavy weight in the course, but he prepares you very well. He was also super accommodating and available outside of class with and questions or concerns I had. I highly recommend taking a class with this professor!",5.0,3.0,"May 5th, 2020",1459305
17,"There were no surprises with this course. Everything that is expected is clearly outlined in the syllabus. Tests are a heavy weight in the course, but he prepares you very well. He was also super accommodating and available outside of class with and questions or concerns I had. I highly recommend taking a class with this professor!",5.0,2.0,"Nov 7th, 2018",1459305
18,"I finished the class in one month and he let me take the final early, Saved me a lot of time and I learned a lot.",4.0,3.0,"Mar 27th, 2017",1459305
19,"Nice teacher, funny. Did a lot of group work and he would go to every group to answer questions, but wouldn't go back to your group until he went to everyone else. So if you were on question one and didn't have a question he would move to the next group, when you realized you had a question on question two you had to wait a while for him to return.",2.5,3.0,"Apr 24th, 2016",1459305
20,Very good when it comes to helping. Able to dumb things down to a students level instead of a doctorate level. Understanding of missing class but would rather you are there. Has very clear expectations on tests including sample tests. ALOT of group work.,2.0,5.0,"Nov 11th, 2015",1459305
21,Hes a very hard grader and expects you to know so much already ,2.5,3.0,"Nov 9th, 2015",1459305
22,Tests are very difficult if you don't understand the subject. ,5.0,3.0,"Nov 5th, 2015",1459305
23,Great teacher makes sure students understand the material and gives group works for every section to help you fully understand what is being taught ,4.0,2.0,"Dec 28th, 2013",1459305
24,Overall a good professor. He is super easy but you can learn a lot if you apply yourself. Group work made up most of this course and was not difficult at all.,4.5,4.0,"Oct 28th, 2011",1459305
25,"He is tough on tests, but he makes the material interesting, and as long as you do the homework you can make up for the low test grades. He is always willing to help with office hours and e-mail, but its not a class you can go into, not work and get a great grade.",3.0,4.0,"Oct 17th, 2011",1459305
26,"Very easy to do homework on WebWork. He is nice and helpful but the tests are VERY HARD. Consists of about 6 questions, word problems. He gives partial credit but still impossible to pass.",2.5,2.0,"Apr 27th, 2011",1459305
