,Comments,Quality,Difficulty,Dates,TeacherID
0,VERY HELPFUL AND WHATEVER HE SAYS THAT'S WHAT HE MEANT NO IF AND OR BUTS. JUST READ AND STUDY YOU WILL DO FINE ! COME ON GUYS THIS IS HARVARD NOT JUST SOME COLLEGE .....,4.5,1.0,"May 10th, 2012",1127241
1,,5.0,5.0,"Mar 31st, 2010",1127241
2,Very solid class from a master of the subject.,5.0,2.0,"Oct 17th, 2014",1532353
3,His class was very unique. I really enjoyed being in the class. If you want high grade marks in the class then you must keep up with the reading and make sure you attend every class. If you show interest in the class and participate then you should be okay. He is such a nice person and is a genus.,5.0,1.0,"May 15th, 2014",1532353
4,"Intelligent, helpful, accessible and funny French professor - take his class and he will make you laugh and teach you economics as well.",5.0,2.0,"Apr 20th, 2011",1532353
5,"I had him for ''Media, Democracy and Economics'' this past fall and I have to say I have never had such an amazing professor. Putting aside his genius, he is an inspiring teacher. No negative comments here!",5.0,3.0,"Jan 20th, 2011",1532353
6,Amazing professor. I would have never learned the language without her ,5.0,1.0,"Jul 11th, 2015",1883072
7,good,5.0,3.0,"Aug 1st, 2021",1406187
8,"Professor Remo's class is amazing. Although it was online, it was so active it was as if it was in person. The assignments were engaging and participatory. I learned a lot about not just acting but presentations in general and self discovery. I am a business major but this class helped me a lot. I left this class with more confidence.",4.0,2.0,"Feb 26th, 2021",1406187
9,Very good,5.0,5.0,"Feb 6th, 2021",1406187
10,GREAT!,5.0,5.0,"Jul 8th, 2020",1406187
11,good,5.0,3.0,"Apr 4th, 2019",1406187
12,"great teacher, the class was so interesting !! great experience !",5.0,2.0,"Mar 4th, 2019",1406187
13,"i love the prof so much , he 's great !!!!!!!!!",5.0,4.0,"Jan 14th, 2019",1406187
14,Remo is the best professor I have EVER had in any subject. He is incredibly passionate about his students and the art of acting. This course requires complete participation -- read the text (it's great!) And do all of the work and I promise you will grow and have a stronger understanding of the material. I honestly can't recommend him enough.,5.0,3.0,"Nov 10th, 2018",1406187
15,"I took a public speaking with professor Remo, and it was incredibly inspiring and I benefited a lot from the class. Remo always tries to help you and he is always on your side to help make it through any difficulty, but you have to do the reading assignment, because if you dont you will have a lot of difficulties in studying for the final.",5.0,4.0,"Jun 9th, 2018",1406187
16,"A brilliant teacher who inspires every single student he works with. It is amazing to me the amount of time, care and attention he gives to everyone in his class. Shakespeare is not easy but Remo's love for the material and his expert, sensitive coaching make these plays accessible in a way I would've never thought possible when the semester began.",4.0,3.0,"Sep 6th, 2017",1406187
17,Loved every class,5.0,3.0,"Feb 17th, 2017",1406187
18,"I was looking for a class to fill a humanities requirement, and one that would take me out of my comfort zone so I chose drama. After 3 weeks straight of a rocky start due to multiple snow storms class finally began. Remo is truly a gifted and amazing human and professor! He can break anyone out of their shell, gently! Wonderful experience!",4.0,5.0,"Feb 3rd, 2017",1406187
19,"I mean i""m not gonna lie or nothing class was hard. I feel like this dudes a solid choice but their was a lot a work and reading it was hard",5.0,3.0,"Jan 28th, 2017",1406187
20,No words! Remo is the greatest teacher/mentor I have ever had.,5.0,3.0,"Aug 20th, 2016",1406187
21,"Loved Remo. He is so kind, funny, inspirational, and down to earth. He will give you so much individual attention and help you grow significantly. An amazing professor and person.",5.0,4.0,"Aug 7th, 2016",1406187
22,"The most inspirational professor I have ever taken a class with.  For many, this class becomes life changing; classmates who struggled to speak in public at the start were transformed by 'Remo' - as he insists on being called -into highly confident speakers.  I was humbled by his devotion to the class.  He is strict on attendance  & participation.",5.0,3.0,"Aug 4th, 2016",1406187
