,Comments,Quality,Difficulty,Dates,TeacherID
0,Dr. Abbas is the reason I was able to succeed in Genetics! His lectures are amazing & very informative. He is very helpful & truly cares for his students. His way of explaining concepts makes such a hard class doable. He is a great teacher & truly takes time out of his time to help his students! He is one of the best teachers I've had in TWU!,5.0,4.0,"Aug 11th, 2020",2567305
1,"Dr Abbas is the reason I was able to pass this course. He knows the material very well, he knows how to make you understand the material and he is very patient explaining it. He is the best, I strongly recommend you study his notes for the test. Good luck",5.0,3.0,"May 8th, 2020",2567305
2,Dr. Abbas is an amazing teacher! He always wants the best for his students. He is always prompt on answering questions and assisting students before the exams! Dr. Abbas is truly the best at teaching and breaking down the course material in an easier manner to be understood. It is possible to make an A in the class if you attend his study sessions!,5.0,4.0,"May 8th, 2020",2567305
3,Dr. Abbas was an excellent professor and an incredible help getting through Genetics. He is very thoughtful and tries his very best to help all his students. He is always clear about the material we need to understand and is accessible outside of class if you need additional help.,4.0,4.0,"May 8th, 2020",2567305
4,"Go to class and record everything! Take good notes and youll hardly have to crack the book open (except for homework questions) Also Dr. Abbas does review sessions that are guaranteed to get you an A, I really suggest you attend all of them if you can!",5.0,4.0,"May 7th, 2020",2567305
5,Learned and understood the subjects better for molecular cell biology and genetics (:,5.0,3.0,"May 5th, 2020",2567305
6,"Dr. Abbas is by far the reason I did well in both BIOL4813 or BIOL4823. He takes the time to make sure EVERY student understands. He genuinely cares for each student and wants you to get an A. He was available to help at all times, even the night before an exam. He provides detailed reviews and hosts study sessions every week! TAKE HIM!!",5.0,3.0,"May 5th, 2020",2567305
7,"Dr. Abbas is the BEST at his job. He broke down materials so well. He is easy to communicate with and gives AMAZING TUTORIALS. IF YOU HAVE THE OPPORTUNITY TO TAKE HIM, PLEASE DO WITHOUT A DOUBT AND TRUST ME, YOU WILL NEVER REGRET IT, BUT BE READY TO WORK HARD AND REMAIN FOCUS.",5.0,4.0,"May 5th, 2020",2567305
8,"Mr. Abaas was the supplement I needed for this class. He gives 100% and without his help, the exams wouldve been killer. Would recommend to a friend!!",5.0,4.0,"Apr 18th, 2020",2567305
9,Prof. Abbas is great. The class is hard but his study sessions make it easier! The notes are clear and they are also helpful to prepare for the exams.,5.0,4.0,"Apr 16th, 2020",2567305
10,Dr. Abbas is an amazing professor. He is kind and very concerned about the success of his students. He is prepared for lectures and wants students to ask questions to ensure they truly understand. He dedicates his time to put together helpful information and is still available outside of class for any questions students may have.,5.0,3.0,"Apr 9th, 2020",2567305
11,Don't hesitate to go his study sessions! They are the difference between getting the grade you want and wondering where it all went wrong. Excellent communication and focuses on the harder concepts first.,5.0,5.0,"Apr 9th, 2020",2567305
12,he is a great teacher and really helps to simplify the materials,5.0,3.0,"Apr 8th, 2020",2567305
13,"I could not have done so well in this class without Dr. Abbas' help. He can explain and break down information in a way that makes sense. He is one of the best biology professors in the department. He TRULY cares about the education and success of his students. His class not only helped me learn, but helped me feel passionate about biology again.",5.0,4.0,"Apr 8th, 2020",2567305
14,Dr. Abbas is very knowledable very and very helpful and I believe that is why I understood the material and made better grades on my exams!,5.0,2.0,"Apr 8th, 2020",2567305
15,"De. Abbas is has been essential in maintaining a good standing in Cell Molec as we transitioned to an online format. His lectures are easily digestible And if you come to his lectures and be attentive and involved, you're sure to make an A.",5.0,2.0,"Apr 8th, 2020",2567305
16,Dr. Abbas makes sure you understand the material and gives multiple examples. Cell Molec was very easy due to his study sessions. He breaks down the material from class and presents it in a student friendly manner. I wish there was someone like him for Micro.,5.0,1.0,"Apr 8th, 2020",2567305
17,Dr. Abbas is the reason why Cell Molec and Genetics made sense to me! I don't know how would I survive that class without his study sessions. He is a real gem! He takes his time to make sure his students understand each concept thoroughly. He genuinely cares for his students. His style of teaching makes the subject seems easy. Dr. Abbas is the best,5.0,4.0,"Apr 8th, 2020",2567305
18,"Dr. Abbas has been my fav professor in TWU ever since I entered the school for Biology Major. He helps break down lecture materials to easily digest, point out important details for exams, and answer clearly all confusion during study sessions. If you wanna to pass Moleclar Biology Courses, make sure attend Abbas' lectures and study his notes.",5.0,4.0,"Apr 8th, 2020",2567305
19,Amazing professor! He takes a super hard class and makes it bearable. Teaches a lot at once but is really easy to follow. He will constantly check in with students and is always available for questions or help.,5.0,2.0,"Apr 8th, 2020",2567305
20,Dr. Abbas is the reason I was able to succeed in Genetics! His lectures are amazing & very informative. He is very helpful & truly cares for his students. His way of explaining concepts makes such a hard class doable. He is a great teacher & truly takes time out of his time to help his students! He is one of the best teachers I've had in TWU!,,,,2567305
21,This teacher was great and funny. It's a pretty simple class as long as you just do your homework and study reviews for tests.,5.0,1.0,"Aug 13th, 2013",1685705
22,very simple! come to class because he has random quizzes and ususally lets you use notes or even your phone. tests are very similar to reviews. take him if math is not your thing.,4.5,2.0,"May 5th, 2013",1685705
23,"This teacher is very passionate about teaching and his students. He wants his students to be successful and is willing to help.There are not many teachers with this quality anymore. His sense of humor lighten up the mood of Statistics. You don't need the book. Show up, take notes and do the HW. Tests are similar to reviews. He's a good teacher.",4.5,2.0,"Jan 17th, 2013",1685705
24,"Heavy accent, didn't always know what he was talking about.",3.0,1.0,"Dec 16th, 2012",1685705
25,"overall he's a nice teacher :) really chill, and he's nice, but he sometimes he can be a bit sarcastic. Avoid sleeping in his class or else he will call you out on it. he's pretty easy.",3.5,4.0,"Nov 27th, 2012",1685705
26,Although he has a funny accent he is still a very fun and helpful teacher. He makes parties before a test and he makes his students interact. He is the Best! Love Him!,5.0,2.0,"May 3rd, 2012",1685705
27,"He's super easy and nice, all you have to do is go to class and you'll get an ""A"". Although he likes to TALK A LOT he takes out time  time to get to know his students. 4 stars!",3.5,2.0,"May 2nd, 2012",1685705
28,Good teacher. He's so nice & helpful. His class is super easy!! No books needed for this class his tests are pretty easy he gives reviews & others. His class & lectures are a bit boring I must say but doesn't really matter he does take attendance. But all in all I def recommend him,4.5,1.0,"May 2nd, 2012",1685705
29,The professor does not provide any feed back or reply to emails. She also takes a her time grading assignments. Overall the course was pretty easy but it would be helpful if she were to correspond.,2.0,2.0,"Jun 15th, 2021",2493149
30,"She hardly ever responds to emails, her tests are on subjects she has not taught, and the questions are often not spelled correctly or out of order, making it hard to understand what she's asking. She also gets VERY defensive if you ask about a question's answer, like if you ask why it was one answer versus a different one.",1.0,4.0,"May 10th, 2021",2493149
31,"When I asked questions, she often would not answer. beware her quiz, the questions do not match the answers in the book. book is too outdated",1.0,2.0,"May 1st, 2021",2493149
32,"Her grading criteria are very unclear, she does not give any feedback, and her midterm was over subjects we had not covered yet. Getting answers to questions you have is like pulling teeth. It feels like she's given up on teaching during the pandemic, but if we are willing to enroll and pay for tuition, and show up, she should as well.",1.0,4.0,"Apr 6th, 2021",2493149
33,"please take anyone else but her, takes all semester to do grades responds a month later, pending covid offered no help, crappy over all and i am a good student. wouldnt want anyone i know to take her. need the books, and to get a whole software system, i had to buy a new computer for it, beware.",1.0,5.0,"Jan 12th, 2021",2493149
34,"Takes up to a week to respond to emails, if she responds at all. Wasnt the worst prof Ive had but definitely has multiple things to improve on. For example, our final is still yet to be graded the day before grades are due to the registrar and she grades things weeks after theyre turned in. She doesnt seem to have her priorities in order.",2.0,4.0,"Dec 14th, 2020",2493149
35,"Worst instructor I have ever had! Assigns a ton of work but does not provide lectures, assistance, or really any teaching. She never answers emails. I emailed her several times for different things and she didn't respond once all semester. Her grading requirements are unclear, and she doesn't provide grading rubrics for anything! She was horrible.",1.0,4.0,"Sep 25th, 2020",2493149
36,"She had issues dumbing down the matieral for undergraduates, she was very tough, often took her emotions out on students, seemed like she wanted to be a researcher more than a professor, took forever to get grades back, all in all I did not enjoy the class.",3.0,4.0,"May 13th, 2019",2493149
37,"Wow. Where to start. The class is about her, not us. Everything you thought you might never want to know about this woman, she will tell you. Just play the game, tell her how awesome she is, and you'll be fine.",1.5,5.0,"May 30th, 2012",1300928
38,"Excellent ethics teacher. Had her in '08, most beneficial class in the entire program. Ingratiate yourself if you want her to like you, otherwise try to go unnoticed. Once she finds out personal information about you, she'll say it's interfering with your work and try to have you removed from the program. Either kiss up or stay hidden.",3.0,4.0,"Jan 10th, 2012",1300928
39,"Ridiculous grading. Not understanding to students need. Had to make a last minute trip to visit family out of the country and would not have access to internet. I let the professor know 2 weeks in advance that way I could catch up on work and would not miss an assignment, she was not understanding. Choose a different class, and different professor.",2.0,3.0,"Nov 10th, 2019",1995922
40,"The entire semester you will work with a group. All of his quizzes are pop quizzes. There was one huge project that your grade depends on, but he is helpful if you ask him specific questions. You absolutely have to read in order to pass. Tests and quizzes are straight from the book but it's usually over little details - read carefully!",3.5,4.0,"Dec 10th, 2015",2082345
41,"Ms. Carrie is a great professor to take for printmaking. The class is fun, but you may have a bit of a struggle with the grading. I do feel like she was a bit biased on some students due to her own personal preferences, but I think she graded as fairly as possible. She offers extra credit at the end of the semester, but do each project at your best",5.0,4.0,"May 21st, 2021",2230540
42,"Ms. Carrie is a great professor to take for printmaking. The class is fun, but you may have a bit of a struggle with the grading. I do feel like she was a bit biased on some students due to her own personal preferences, but I think she graded as fairly as possible. She offers extra credit at the end of the semester, but do each project at your best",4.0,3.0,"Mar 28th, 2021",2230540
43,"Did summer semester (1month- Hybrid) Just go to class and pay attention. The printmaking course is very easy, but fair warning it is fast paced. You have four assignments and she's a quick grader. I put she grades tough, but just know she will always let you redo the assignment for a better grade. You submit your discussions and critiques on Canvas",1.0,3.0,"Sep 23rd, 2020",2230540
44,"Lacks the ability to clarify on assignments, doesn't care about the global pandemic occurring by choosing to assign assignments that will require one to go out and about.",5.0,4.0,"May 2nd, 2017",2230540
45,She is passionate about sharing her knowledge of figure drawing with her students,2.0,3.0,"Mar 9th, 2017",2230540
46,I understand art is that kind of class that can difficult to teach but I wouldn't take her. It takes a special teacher to share the passion of drawing and art and unfortunately she didn't have that.,,,,2230540
47,"Professor is not around. Forgets to post assignments. No rubric and just gives out grades with no explanation for points missed. Says one thing on syllabus and then expects another thing when questioned about the grade. Easy class as long as you read the text, but sucky professor. 10 discussion boards, 4 quizzes, 4 exams, and a term paper (10 pgs)",1.0,2.0,"May 11th, 2020",2322792
48,"This is basically a skate course. This professor can't seem to post assignments on time, but tries to make up for it and gives to make them up when missed. The course consists of 2 weekly discussions(if they're posted), 4 quizzes & 4 exams that are straight off the review, and 1 easy paper on the topic of your choice on the country you picked.",1.0,1.0,"May 10th, 2018",2322792
49,"It is hard to rate this professor since we had little contact with him. Read the textbook, three chapters, take a quiz and an exam. Do that four times and write a term paper at the end. Weekly discussion board that was more like every three weeks. No interaction with the material except read and test. Changes study guide format halfway through.",1.0,3.0,"Dec 16th, 2017",2322792
50,No Comments,2.0,4.0,"Jan 14th, 2010",713491
51,No Comments,5.0,1.0,"Feb 24th, 2006",713491
52,"All you have to do is read her instructions and follow her directions. If there is any confusion, just ask her!",3.0,2.0,"Dec 2nd, 2020",850234
53,"fully online, no zooms or online lectures, solely an independent class. Assignments arent hard as the only assignments are four discussion boards, pre exam for extra credit and four exams along with the final. (all ontextbook is free and online they're side notes in the margins that give hints towards exams. calculating final grade was difficult",4.0,2.0,"Nov 7th, 2020",850234
54,"All you have to do is read her instructions and follow her directions. If there is any confusion, just ask her!",1.0,2.0,"May 7th, 2019",850234
55,"Really bad speller, unclear expectations, false deadlines, did not lable homework discussions clearly. Kind of petty. Mediocre on her best day.",4.0,4.0,"May 22nd, 2017",850234
56,"Dr. Ahmed is clear and precise with the information in the class. She is very straight forward with everything, and puts the lecture powerpoints up online. The lab portion of the class was good, it helped that the information was the same from the lecture.",3.0,3.0,"Apr 11th, 2017",850234
